,Team,home,season_hits_for,season_hits_against,season_runs_for,season_runs_against,season_errors,season_wins,ml_odds,rl_odds
0,BOS,1,68,67,36,38,6,3,162,-111
1,NYY,0,35,32,26,21,3,4,-183,-107
2,ATL,1,53,52,35,29,2,4,-132,139
3,NYM,0,62,63,27,36,4,3,117,-161
4,CIN,1,43,45,37,33,3,2,-174,-112
5,DET,0,45,61,28,39,5,4,154,-105
6,BAL,1,37,50,25,36,4,2,169,106
7,TBR,0,49,55,38,28,7,4,-192,-124
8,CHW,1,53,51,27,36,1,2,-158,-108
9,KCR,0,55,49,31,31,5,3,141,-110
10,COL,1,38,29,21,9,2,4,-108,133
11,SDP,0,56,55,44,26,4,5,-105,-123
12,CLE,1,50,42,24,15,3,5,-121,131
13,MIN,0,45,46,36,22,1,4,107,-150
14,CHC,1,49,39,38,33,4,4,-240,-108
15,PIT,0,33,46,23,30,5,2,188,-110
16,SFG,1,58,69,27,45,8,3,107,-154
17,TEX,0,28,30,13,16,4,2,-121,133
18,HOU,1,49,48,33,25,3,3,-179,-119
19,LAA,0,54,56,33,37,2,2,157,102
20,OAK,1,39,53,21,24,3,3,-197,-124
21,SEA,0,63,60,36,51,6,3,173,107
22,ARI,1,44,47,20,35,2,2,116,-134
23,LAD,0,63,45,37,17,2,5,-131,116
