,Team,Date,Home,Run Line,RL
0,Boston Red Sox,2020-07-31,1,1.50,-111
1,New York Yankees,2020-07-31,0,-1.50,-107
2,Atlanta Braves,2020-07-31,1,-1.50,139
3,New York Mets,2020-07-31,0,1.50,-161
4,Cincinnati Reds,2020-07-31,1,-1.5,-112
5,Detroit Tigers,2020-07-31,0,1.5,-105
6,Baltimore Orioles,2020-07-31,1,1.5,106
7,Tampa Bay Rays,2020-07-31,0,-1.5,-124
8,Chicago White Sox,2020-07-31,1,-1.50,-108
9,Kansas City Royals,2020-07-31,0,1.50,-110
10,Colorado Rockies,2020-07-31,1,-1.50,133
11,San Diego Padres,2020-07-31,0,1.50,-123
12,Cleveland Indians,2020-07-31,1,-1.5,131
13,Minnesota Twins,2020-07-31,0,1.5,-150
14,Chicago Cubs,2020-07-31,1,-1.50,-108
15,Pittsburgh Pirates,2020-07-31,0,1.50,-110
16,San Francisco Giants,2020-07-31,1,1.50,-154
17,Texas Rangers,2020-07-31,0,-1.50,133
18,Houston Astros,2020-07-31,1,-1.5,-119
19,Los Angeles Angels,2020-07-31,0,1.5,102
20,Oakland Athletics,2020-07-31,1,-1.50,-124
21,Seattle Mariners,2020-07-31,0,1.50,107
22,Arizona Diamondbacks,2020-07-31,1,1.5,-134
23,Los Angeles Dodgers,2020-07-31,0,-1.5,116
