,Team,runs_for,hits_for,W,hits_against,runs_against,E
0,ARI,20,44,2,47,35,2
1,ATL,35,53,4,52,29,2
2,BAL,25,37,2,50,36,4
3,BOS,36,68,3,67,38,6
4,CHC,38,49,4,39,33,4
5,CHW,27,53,2,51,36,1
6,CIN,37,43,2,45,33,3
7,CLE,24,50,5,42,15,3
8,COL,21,38,4,29,9,2
9,DET,28,45,4,61,39,5
10,HOU,33,49,3,48,25,3
11,KCR,31,55,3,49,31,5
12,LAA,33,54,2,56,37,2
13,LAD,37,63,5,45,17,2
14,MIA,17,27,2,24,15,3
15,MIL,24,39,3,36,28,2
16,MIN,36,45,4,46,22,1
17,NYM,27,62,3,63,36,4
18,NYY,26,35,4,32,21,3
19,OAK,21,39,3,53,24,3
20,PHI,15,24,1,27,17,1
21,PIT,23,33,2,46,30,5
22,SDP,44,56,5,55,26,4
23,SEA,36,63,3,60,51,6
24,SFG,27,58,3,69,45,8
25,STL,18,34,2,31,19,2
26,TBR,38,49,4,55,28,7
27,TEX,13,28,2,30,16,4
28,TOR,25,58,3,51,26,1
29,WSN,24,54,3,46,22,8
